Text,Language ,Topic
ነጋድራስ የኢትዮጵያ ንግድ ባንክ የሥራ ፈጠራ ውድድር,Amahric,Businuess
ትምህርትና ስልጠና ማዕከል,Amahric,Education
ትላልቅ ዓለም አቀፍ ኮንፍረንሶችን ያመጣው የኢትዮጵያ ዲፕሎማሲ,Amahric,Businuess
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Transport
ብራዚልን ያስመነደጓት ሉላ ዳሲልቫ,Amahric,other
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,Amahric,Sport
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Transport
ለሽብር ተልዕኮ የተመለመሉ 82 የአይ ኤስ አባላት በቁጥጥር ስር መዋላቸውን የብሔራዊ መረጃና ደኅንነት አገልግሎት አስታወቀ,Amahric,Poltics
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው፡- ርዕሰ መስተዳድር አወል አርባ,Amahric,other
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው፦ የኢትዮጵያ የኤሌክትሪክ አገልግሎት,Amahric,other
ኢትዮጵያ ሻምፒዮን የሆነችበት 8 ሺህ ኪሎ ሜትር የሚሸፍነው የአፍሪካ አረንጓዴ ግድግዳ,Amahric,Sport
ከ2500 በላይ ልዑካን በአዲስ አበባ የአፍሪካ የአየር ንብረት ለውጥ ጉባኤ ላይ ይሳተፋሉ,Amahric,Weather
ኢትዮጵያ በስንዴ ልማት ያስመዘገበችው ስኬት የአፍሪካ ዕድገት እውን እንደሚሆን ሁነኛ ማሳያ ነው፦ ኦሊሴጉን ኦባሳንጆ,Amahric,other
በሶማሊያ ከ30 አመታ በኋላ በተካሄደው ታሪካዊው የእግርኳስ ጨዋታ የኢትዮጵያ አየርመንገድ ሚና ምንድን ነው?,Amahric,Sport
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,Amahric,other
በጃፓን እና ህንድ ማቀዝቀዣ ያላቸው ጃኬቶች ፍላጎት ለምን ጨመረ?,Amahric,Businuess
ከጓሮ አትክልት፣ ከኩሬ አሳ፣ ከበረት ከብቶች የማያጡት የቪየትናም ነዋሪዎች,Amahric,other
ወላጆች በጉርምስና የእድሜ ክልል ውስጥ ከሚገኙ ልጆች ጋር የሚኖራቸው ግንኙነት ምን መምሰል አለበት?,Amahric,social
የማንኮራፋት ችግር እንቅልፍ ማሳጣት ብቻ አለመሆኑን ያውቃሉ?,Amahric,social
ክረምቱን ልጆችዎ የት እንዲያሳልፉ አስበዋል?,Amahric,social
ከጊዜ በኋላ ያጋጠማትን የአካል ጉዳት እና የእናቷን ኀዘን ተቋቁማ ስኬታማ የሆነችው ወጣት,Amahric,social
የኢትዮ - አሜሪካ ግንኙነት ከየት ወዴት?,Amahric,Poltics
"""በክልሉ ያልተቋጨውን ሕግ የማስከበር ሥራ ለማጠናቀቅ መንግሥት ዝግጅት አድርጓል"" – የአማራ ክልል ብልጽግና ፓርቲ ቅርንጫፍ ጽሕፈት ቤት",Amahric,Poltics
የብልጽግና ፓርቲ ማዕከላዊ ኮሚቴ ስብሰባ ተጀመረ,Amahric,Poltics
ብልፅግና ፓርቲ በዘላቂ ሰላም ግንባታና አካታች ልማት ስኬቶችን አስመዝግቧል - ምክትል ጠቅላይ ሚኒስትር ተመስገን ጥሩነህ,Amahric,Poltics
የኢትዮጵያ ባንኮች በአህጉር አቀፍ ደረጃ ተወዳዳሪ ለመሆን መዋሃድ ይጠበቅባቸዋል፡- የምጣኔ ሃብት ባለሙያዎች,Amahric,Businuess
ከ1.7 ቢሊዮን ብር በላይ የያዙት የፋይናንስ ምርመራ ውጤቶች,Amahric,Businuess
939 ሚሊዮን ብር ግምታዊ ዋጋ ያላቸው የኮንትሮባንድ ዕቃዎች በቁጥጥር ስር ዋሉ,Amahric,Businuess
ባለፉት ሥድስት ወራት ከ2 ሚሊዮን በላይ የንግድ ምዝገባ እና ዕድሳት አገልግሎት በኦንላይን ተሰጥቷል፡- የንግድና ቀጠናዊ ትስስር ሚኒስቴር,Amahric,Businuess
ከአነስተኛ የሩዝ መሸጫ መደብር የተነሳው ግዙፉ ሳምሰንግ ኩባንያ,Amahric,Sport
የአየር ብክለትን ለመጠቆም የመጠቀችው 88 ሚሊዮን ዶላር የወጣባት ሳተላይት መጥፋቷ ተሰማ,Amahric,Weather
ከቤታቸው በመሥራት እስከ 2 ሺህ ዶላር ተከፋይ መሆን ይቻሉ ወጣቶች,Amahric,Businuess
የፌደራል ቤቶች ኮርፖሬሽን የ3D ኮንስትራክሽን ቴክኖሎጂን ወደ ኢትዮጵያ ሊያስገባ ነው,Amahric,other
ኢትዮጵያ በመስከርም ወር ጋዝ ለገበያ ታቀርባለች,Amahric,Businuess
የትግራይ ህዝብ ፈጽሞ ጦርነት አይፈልግም፦ ጠቅላይ ሚኒስትር ዐቢይ አሕመድ (ዶ/ር),Amahric,Poltics
46 ሺህ የሚጠጉ የታክስ ተመዝጋቢዎች ግብር እየከፈሉ አይደለም፦ ጠቅላይ ሚኒስትር ዐቢይ አሕመድ (ዶ/ር),Amahric,Businuess
አትግደሉ፣ አትግደሉኝ እናንተም አትሙቱልኝ ማለት ይገባል,Amahric,Poltics
የምናቀርበውን አገልግሎት ለማሻሻል በማሰብ ኩኪዎችን,Amahric,Businuess
ወደ ማውጫ መመለስ እፈልጋለሁ,Amahric,Businuess
ትላልቅ ዓለም አቀፍ ኮንፍረንሶችን ያመጣው የኢትዮጵያ ዲፕሎማሲ,Amahric,Businuess
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Businuess
ብራዚልን ያስመነደጓት ሉላ ዳሲልቫ,Amahric,Businuess
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,Amahric,Sport
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው፡- ርዕሰ መስተዳድር አወል አርባ,Amahric,Sport
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው፦ የኢትዮጵያ የኤሌክትሪክ አገልግሎት,Amahric,Businuess
በትግራይ ክልል ዘላቂ ሰላም እንዲረጋገጥ ሁሉም ድርሻውን ሊወጣ ይገባል፦ ግሎባል ፒስ ባንክ,Amahric,Poltics
በ2017 በጀት ዓመት የተሰበሰበው ገቢ ከ2016 የ83.3 ቢሊዮን ብር ብልጫ አለው፦ ከንቲባ አዳነች አቤቤ,Amahric,Businuess
"""የባሕር በር ካለህ ዓለም ሁሉ ገበያህ ነው""",Amahric,Businuess
ክፍት የሥራ ቦታ ማስታወቂያ,Amahric,Businuess
ከዘመን ጋር አብሮ መዘመን - ዲጂታል ቱሪዝም,Amahric,Businuess
ቀይ መስቀል በአገራችን የፈተና ጊዜ የተወለደ እና የሰብዓዊነትን ፋይዳ በተግባር የተረጎመ ነው - ፕሬዚዳንት ታየ አጽቀ ሥላሴ,Amahric,Businuess
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው፦ የኢትዮጵያ የኤሌክትሪክ አገልግሎት,Amahric,Businuess
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,Amahric,Businuess
ክፍት የሥራ ቦታ ማስታወቂያ:- የኢትዮጵያ ብሮድካስቲንግ ኮርፖሬሽን,Amahric,Businuess
የኢትዮጵያ ባንኮች በአህጉር አቀፍ ደረጃ ተወዳዳሪ ለመሆን መዋሃድ ይጠበቅባቸዋል፡- የምጣኔ ሃብት ባለሙያዎች,Amahric,Businuess
ከዋንጫዎች ሁሉ የተለየው በወርቅ ቁልፍ የሚከፈተው የፊፋ ክለቦች ዋንጫ,Amahric,Sport
ወላጆች በጉርምስና የእድሜ ክልል ውስጥ ከሚገኙ ልጆች ጋር የሚኖራቸው ግንኙነት ምን መምሰል አለበት?,Amahric,social
የማንኮራፋት ችግር እንቅልፍ ማሳጣት ብቻ አለመሆኑን ያውቃሉ?,Amahric,social
ክረምቱን ልጆችዎ የት እንዲያሳልፉ አስበዋል?,Amahric,social
ከጊዜ በኋላ ያጋጠማትን የአካል ጉዳት እና የእናቷን ኀዘን ተቋቁማ ስኬታማ የሆነችው ወጣት,Amahric,Businuess
የኢትዮጵያ ባንኮች በአህጉር አቀፍ ደረጃ ተወዳዳሪ ለመሆን መዋሃድ ይጠበቅባቸዋል፡- የምጣኔ ሃብት ባለሙያዎች,Amahric,Businuess
ከ1.7 ቢሊዮን ብር በላይ የያዙት የፋይናንስ ምርመራ ውጤቶች,Amahric,Businuess
939 ሚሊዮን ብር ግምታዊ ዋጋ ያላቸው የኮንትሮባንድ ዕቃዎች በቁጥጥር ስር ዋሉ,Amahric,Businuess
ባለፉት ሥድስት ወራት ከ2 ሚሊዮን በላይ የንግድ ምዝገባ እና ዕድሳት አገልግሎት በኦንላይን ተሰጥቷል፡- የንግድና ቀጠናዊ ትስስር ሚኒስቴር,Amahric,Businuess
ኬንያውያን ፕሬዚዳንታዊ ምርጫ እያካሄዱ ነው,Amahric,Poltics
የደቡብ ሱዳን የሽግግር ወቅት መራዘም በበጎ ጎን እንደሚያየው የኢትዮጵያ መንግስት አስታወቀ,Amahric,Poltics
የሱዳን የቀድሞ ፕሬዝደንት አልበሽር ሆስፒታል ውስጥ ሆነው የሚያሳይ ቪዲዮ መወጣት ቁጣን ቀሰቀሱ,Amahric,Poltics
የታንዛኒያ ብሄራዊ መከላከያ ኮሌጅ አባላት የኢኖቬሽንና ቴከኖሎጂ ሚኒስቴርን ጎበኙ,Amahric,Businuess
ኢትዮጵያ ሻምፒዮን የሆነችበት 8 ሺህ ኪሎ ሜትር የሚሸፍነው የአፍሪካ አረንጓዴ ግድግዳ,Amahric,Sport
ከ2500 በላይ ልዑካን በአዲስ አበባ የአፍሪካ የአየር ንብረት ለውጥ ጉባኤ ላይ ይሳተፋሉ,Amahric,other
ኢትዮጵያ በስንዴ ልማት ያስመዘገበችው ስኬት የአፍሪካ ዕድገት እውን እንደሚሆን ሁነኛ ማሳያ ነው፦ ኦሊሴጉን ኦባሳንጆ,Amahric,other
በሶማሊያ ከ30 አመታ በኋላ በተካሄደው ታሪካዊው የእግርኳስ ጨዋታ የኢትዮጵያ አየርመንገድ ሚና ምንድን ነው?,Amahric,Sport
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,Amahric,other
በጃፓን እና ህንድ ማቀዝቀዣ ያላቸው ጃኬቶች ፍላጎት ለምን ጨመረ?,Amahric,Businuess
ከጓሮ አትክልት፣ ከኩሬ አሳ፣ ከበረት ከብቶች የማያጡት የቪየትናም ነዋሪዎች,Amahric,Businuess
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Businuess
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,Amahric,Sport
ኢትዮጵያ በመስከርም ወር ጋዝ ለገበያ ታቀርባለች,Amahric,Businuess
አባቱ የተገደለበት መሳሪያን ሰላም የሚሰብክበት ስተርሊንግ,Amahric,Sport
የሚታይ ለውጥ፤ ከጨለማ ወደ ብርሃን,Amahric,other
ለሽብር ተልዕኮ የተመለመሉ 82 የአይ ኤስ አባላት በቁጥጥር ስር መዋላቸውን የብሔራዊ መረጃና ደኅንነት አገልግሎት አስታወቀ,Amahric,Poltics
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው፡- ርዕሰ መስተዳድር አወል አርባ,Amahric,other
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,Amahric,Sport
አባቱ የተገደለበት መሳሪያን ሰላም የሚሰብክበት ስተርሊንግ,Amahric,Poltics
ከዋንጫዎች ሁሉ የተለየው በወርቅ ቁልፍ የሚከፈተው የፊፋ ክለቦች ዋንጫ,Amahric,Sport
በእንግሊዝ እና በፈረንሳይ ክለቦች መካከል ለመጀመርያ ጊዜ የሚደረግ የፍጻሜ ጨዋታ,Amahric,Sport
